1	153,102,0
10	255,255,0
11	204,255,0
12	0,255,0
13	53,128,0
14	0,0,204
15	102,153,255
16	153,204,255
17	0,255,255
18	204,255,255
19	153,0,204
2	102,102,0
20	204,51,255
21	204,153,255
22	102,102,102
23	153,153,153
24	204,204,204
3	153,153,30
4	204,0,0
5	255,0,0
6	255,0,204
7	255,204,204
8	255,153,0
9	255,204,0
M	204,204,153
X 	153,153,153
Y	204,204,204
